action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,label,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
Jump Shot,Jump Shot,379,20000068,33.9683,-58,76,-118.3278,5,4,0,2000-01,14,9,0.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,111
Jump Shot,Jump Shot,395,20000068,33.9743,-37,70,-118.3068,3,4,0,2000-01,38,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,112
Jump Shot,Jump Shot,418,20000068,33.8943,-151,150,-118.4208,0,4,0,2000-01,43,21,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-08,LAL @ SAS,SAS,113
Jump Shot,Jump Shot,4,20000098,33.8563,-94,188,-118.3638,11,1,0,2000-01,9,21,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,114
Driving Layup Shot,Layup,11,20000098,34.0443,0,0,-118.2698,10,1,0,2000-01,17,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,115
Reverse Layup Shot,Layup,19,20000098,34.0443,0,0,-118.2698,9,1,0,2000-01,23,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,116
Tip Shot,Tip Shot,20,20000098,34.0443,0,0,-118.2698,9,1,0,2000-01,21,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,117
Slam Dunk Shot,Dunk,111,20000098,34.0443,0,0,-118.2698,3,1,0,2000-01,2,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,118
Driving Layup Shot,Layup,130,20000098,34.0443,0,0,-118.2698,0,1,0,2000-01,44,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,119
Jump Shot,Jump Shot,135,20000098,33.9033,85,141,-118.1848,0,1,0,2000-01,21,16,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,120
Jump Shot,Jump Shot,170,20000098,33.8863,-88,158,-118.3578,8,2,0,2000-01,50,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,121
Driving Dunk Shot,Dunk,174,20000098,34.0443,0,0,-118.2698,8,2,0,2000-01,18,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,122
Jump Shot,Jump Shot,217,20000098,33.9913,-155,53,-118.4248,2,2,0,2000-01,40,16,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,123
Running Hook Shot,Hook Shot,236,20000098,34.0443,0,0,-118.2698,0,2,0,2000-01,30,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,124
Jump Shot,Jump Shot,240,20000098,33.7683,1,276,-118.2688,0,2,0,2000-01,4,27,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,125
Running Jump Shot,Jump Shot,261,20000098,33.9113,-96,133,-118.3658,9,3,0,2000-01,59,16,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,126
Jump Shot,Jump Shot,274,20000098,34.0523,155,-8,-118.1148,8,3,0,2000-01,38,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,127
Jump Shot,Jump Shot,307,20000098,34.0313,-155,13,-118.4248,5,3,0,2000-01,18,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,128
Jump Shot,Jump Shot,309,20000098,33.9113,-84,133,-118.3538,4,3,0,2000-01,34,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,129
Jump Shot,Jump Shot,317,20000098,34.0523,-178,-8,-118.4478,3,3,0,2000-01,51,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,130
Jump Shot,Jump Shot,320,20000098,33.9553,16,89,-118.2538,3,3,0,2000-01,40,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,131
Jump Shot,Jump Shot,322,20000098,33.9383,-48,106,-118.3178,3,3,0,2000-01,33,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,132
Reverse Layup Shot,Layup,327,20000098,34.0443,0,0,-118.2698,2,3,0,2000-01,56,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,133
Jump Shot,Jump Shot,340,20000098,34.0313,-170,13,-118.4398,2,3,0,2000-01,5,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,134
Jump Shot,Jump Shot,362,20000098,33.9113,-119,133,-118.3888,0,3,0,2000-01,14,17,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,135
Jump Shot,Jump Shot,381,20000098,34.0043,9,40,-118.2608,10,4,0,2000-01,52,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,136
Jump Shot,Jump Shot,426,20000098,33.9623,-84,82,-118.3538,6,4,0,2000-01,34,11,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,137
Jump Shot,Jump Shot,444,20000098,33.9853,9,59,-118.2608,4,4,0,2000-01,57,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,138
Driving Dunk Shot,Dunk,468,20000098,34.0443,0,0,-118.2698,3,4,0,2000-01,28,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,139
Running Jump Shot,Jump Shot,488,20000098,33.9853,9,59,-118.2608,1,4,0,2000-01,38,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,140
Jump Shot,Jump Shot,492,20000098,34.0083,45,36,-118.2248,1,4,0,2000-01,5,5,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,141
Tip Shot,Tip Shot,493,20000098,34.0443,0,0,-118.2698,1,4,0,2000-01,3,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-12,LAL vs. HOU,HOU,142
Driving Layup Shot,Layup,34,20000108,34.0443,0,0,-118.2698,7,1,0,2000-01,43,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,143
Jump Shot,Jump Shot,55,20000108,34.0333,237,11,-118.0328,4,1,0,2000-01,52,23,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,144
Alley Oop Dunk Shot,Dunk,77,20000108,34.0443,0,0,-118.2698,3,1,0,2000-01,8,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,145
Jump Shot,Jump Shot,86,20000108,34.0483,129,-4,-118.1408,2,1,0,2000-01,25,12,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,146
Jump Shot,Jump Shot,93,20000108,33.9473,-98,97,-118.3678,0,1,0,2000-01,48,13,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,147
Jump Shot,Jump Shot,108,20000108,33.9663,167,78,-118.1028,11,2,0,2000-01,16,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,148
Jump Shot,Jump Shot,118,20000108,33.7953,108,249,-118.1618,10,2,0,2000-01,19,27,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,149
Driving Layup Shot,Layup,120,20000108,34.0443,0,0,-118.2698,10,2,0,2000-01,5,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,150
Running Jump Shot,Jump Shot,129,20000108,33.8693,100,175,-118.1698,9,2,0,2000-01,7,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,151
Jump Shot,Jump Shot,179,20000108,33.8753,7,169,-118.2628,4,2,0,2000-01,14,16,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,152
Driving Layup Shot,Layup,186,20000108,34.0443,0,0,-118.2698,3,2,0,2000-01,22,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,153
Layup Shot,Layup,199,20000108,34.0443,0,0,-118.2698,1,2,0,2000-01,54,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,154
Driving Layup Shot,Layup,219,20000108,34.0443,0,0,-118.2698,0,2,0,2000-01,28,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,155
Tip Shot,Tip Shot,220,20000108,34.0443,0,0,-118.2698,0,2,0,2000-01,26,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,156
Jump Shot,Jump Shot,243,20000108,33.8753,115,169,-118.1548,10,3,0,2000-01,23,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,157
Jump Shot,Jump Shot,303,20000108,33.9723,1,72,-118.2688,5,3,0,2000-01,23,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,158
Reverse Dunk Shot,Dunk,318,20000108,34.0443,0,0,-118.2698,3,3,0,2000-01,53,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,159
Driving Dunk Shot,Dunk,352,20000108,34.0443,0,0,-118.2698,0,3,0,2000-01,37,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,160
Jump Shot,Jump Shot,360,20000108,33.8143,113,230,-118.1568,11,4,0,2000-01,43,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,161
Layup Shot,Layup,368,20000108,34.0443,0,0,-118.2698,10,4,0,2000-01,28,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,162
Slam Dunk Shot,Dunk,371,20000108,34.0443,0,0,-118.2698,10,4,0,2000-01,11,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,163
Layup Shot,Layup,416,20000108,34.0443,0,0,-118.2698,5,4,0,2000-01,37,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,164
Dunk Shot,Dunk,418,20000108,34.0443,0,0,-118.2698,5,4,0,2000-01,32,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-14,LAL vs. DEN,DEN,165
Jump Shot,Jump Shot,2,20000124,33.8503,98,194,-118.1718,11,1,0,2000-01,42,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,166
Jump Shot,Jump Shot,5,20000124,33.8603,-117,184,-118.3868,11,1,0,2000-01,7,21,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,167
Jump Shot,Jump Shot,24,20000124,34.0463,-168,-2,-118.4378,8,1,0,2000-01,53,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,168
Jump Shot,Jump Shot,31,20000124,34.0083,70,36,-118.1998,8,1,0,2000-01,16,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,169
Driving Layup Shot,Layup,34,20000124,34.0443,0,0,-118.2698,7,1,0,2000-01,43,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,170
Jump Shot,Jump Shot,70,20000124,34.0023,-37,42,-118.3068,2,1,0,2000-01,47,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,171
Jump Shot,Jump Shot,77,20000124,33.8503,70,194,-118.1998,1,1,0,2000-01,36,20,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,172
Jump Shot,Jump Shot,79,20000124,33.9283,163,116,-118.1068,1,1,0,2000-01,5,20,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,173
Jump Shot,Jump Shot,139,20000124,33.8653,113,179,-118.1568,8,2,0,2000-01,13,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,174
Jump Shot,Jump Shot,150,20000124,34.0463,169,-2,-118.1008,6,2,0,2000-01,27,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,175
Jump Shot,Jump Shot,200,20000124,33.8883,91,156,-118.1788,0,2,0,2000-01,52,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,176
Jump Shot,Jump Shot,209,20000124,33.9513,134,93,-118.1358,0,2,0,2000-01,19,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,177
Jump Shot,Jump Shot,212,20000124,33.5673,47,477,-118.2228,0,2,0,2000-01,0,47,0.0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,178
Jump Shot,Jump Shot,240,20000124,33.9073,11,137,-118.2588,8,3,0,2000-01,52,13,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,179
Jump Shot,Jump Shot,304,20000124,34.0313,199,13,-118.0708,2,3,0,2000-01,55,19,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,180
Jump Shot,Jump Shot,323,20000124,33.8083,77,236,-118.1928,0,3,0,2000-01,1,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,181
Alley Oop Dunk Shot,Dunk,328,20000124,34.0443,0,0,-118.2698,11,4,0,2000-01,44,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,182
Jump Shot,Jump Shot,341,20000124,33.7973,11,247,-118.2588,9,4,0,2000-01,18,24,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,183
Jump Shot,Jump Shot,378,20000124,33.8143,-103,230,-118.3728,5,4,0,2000-01,43,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,184
Jump Shot,Jump Shot,437,20000124,33.7973,-31,247,-118.3008,0,4,0,2000-01,2,24,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,185
Jump Shot,Jump Shot,478,20000124,33.9453,-10,99,-118.2798,2,5,0,2000-01,5,9,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,186
Jump Shot,Jump Shot,480,20000124,33.9443,13,100,-118.2568,2,5,0,2000-01,7,10,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,187
Jump Shot,Jump Shot,498,20000124,33.8443,-73,200,-118.3428,0,5,0,2000-01,24,21,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-16,LAL @ SAC,SAC,188
Jump Shot,Jump Shot,18,20000140,33.8603,-77,184,-118.3468,10,1,0,2000-01,5,19,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,189
Jump Shot,Jump Shot,25,20000140,33.8673,188,177,-118.0818,9,1,0,2000-01,7,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,190
Driving Layup Shot,Layup,31,20000140,34.0443,0,0,-118.2698,8,1,0,2000-01,15,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,191
Jump Shot,Jump Shot,54,20000140,34.0503,174,-6,-118.0958,6,1,0,2000-01,24,17,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,192
Driving Layup Shot,Layup,57,20000140,34.0443,0,0,-118.2698,6,1,0,2000-01,2,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,193
Jump Shot,Jump Shot,70,20000140,33.9073,-128,137,-118.3978,4,1,0,2000-01,22,18,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,194
Alley Oop Dunk Shot,Dunk,73,20000140,34.0443,0,0,-118.2698,4,1,0,2000-01,9,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,195
Jump Shot,Jump Shot,100,20000140,34.0403,153,4,-118.1168,0,1,0,2000-01,18,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,196
Jump Shot,Jump Shot,112,20000140,33.9513,1,93,-118.2688,11,2,0,2000-01,19,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,197
Jump Shot,Jump Shot,158,20000140,33.8843,115,160,-118.1548,6,2,0,2000-01,51,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,198
Jump Shot,Jump Shot,162,20000140,33.8443,159,200,-118.1108,6,2,0,2000-01,11,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,199
Jump Shot,Jump Shot,238,20000140,34.0443,167,0,-118.1028,0,2,0,2000-01,21,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,200
Jump Shot,Jump Shot,246,20000140,33.7993,-162,245,-118.4318,11,3,0,2000-01,17,29,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,201
Jump Shot,Jump Shot,256,20000140,33.9783,-162,66,-118.4318,10,3,0,2000-01,5,17,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,202
Jump Shot,Jump Shot,269,20000140,34.0503,167,-6,-118.1028,8,3,0,2000-01,35,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,203
Jump Shot,Jump Shot,285,20000140,33.8943,-4,150,-118.2738,6,3,0,2000-01,24,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,204
Jump Shot,Jump Shot,297,20000140,34.0353,-185,9,-118.4548,5,3,0,2000-01,1,18,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,205
Jump Shot,Jump Shot,311,20000140,34.0253,237,19,-118.0328,3,3,0,2000-01,21,23,1.0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,206
Jump Shot,Jump Shot,333,20000140,34.0253,-229,19,-118.4988,0,3,0,2000-01,47,22,1.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,207
Driving Layup Shot,Layup,350,20000140,34.0443,0,0,-118.2698,11,4,0,2000-01,10,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,208
Reverse Dunk Shot,Dunk,398,20000140,34.0443,0,0,-118.2698,7,4,0,2000-01,10,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,209
Jump Shot,Jump Shot,411,20000140,33.8883,-214,156,-118.4838,5,4,0,2000-01,19,26,,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,210
Jump Shot,Jump Shot,425,20000140,33.9073,-149,137,-118.4188,3,4,0,2000-01,38,20,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,211
Jump Shot,Jump Shot,448,20000140,33.9623,37,82,-118.2328,1,4,0,2000-01,18,8,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,212
Jump Shot,Jump Shot,450,20000140,33.9573,-42,87,-118.3118,0,4,0,2000-01,46,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-18,LAL @ DEN,DEN,213
Jump Shot,Jump Shot,17,20000147,33.7973,28,247,-118.2418,9,1,0,2000-01,3,24,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,214
Jump Shot,Jump Shot,48,20000147,33.9473,7,97,-118.2628,6,1,0,2000-01,10,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,215
Slam Dunk Shot,Dunk,83,20000147,34.0443,0,0,-118.2698,3,1,0,2000-01,10,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,216
Layup Shot,Layup,114,20000147,34.0443,0,0,-118.2698,0,1,0,2000-01,13,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,217
Slam Dunk Shot,Dunk,153,20000147,34.0443,0,0,-118.2698,7,2,0,2000-01,24,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,218
Jump Shot,Jump Shot,166,20000147,33.9093,115,135,-118.1548,6,2,0,2000-01,3,17,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,219
Jump Shot,Jump Shot,213,20000147,33.8603,142,184,-118.1278,0,2,0,2000-01,44,23,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2000-11-19,LAL vs. CHI,CHI,220
